Designator,Mid X,Mid Y,Rotation,Layer
BRD1,321.85665,-33.93015,180.0,top
C1,39.4,-45.15195,180.0,bottom
C10,214.26465,-40.1914,90.0,bottom
C11,233.26465,-40.1914,90.0,bottom
C12,252.36465,-40.1914,90.0,bottom
C13,271.36465,-40.1914,90.0,bottom
C14,295.26465,-40.1914,90.0,bottom
C15,318.1,-52.3,0.0,top
C16,48.47,-45.83,90.0,top
C17,188.68,-121.14,0.0,top
C18,29.45,-41.7,0.0,top
C19,42.95665,-60.27015,90.0,bottom
C2,61.86465,-40.1914,90.0,bottom
C20,61.96465,-60.33265,90.0,bottom
C21,81.06465,-60.23265,90.0,bottom
C22,100.10665,-60.23265,90.0,bottom
C23,119.15665,-60.23265,90.0,bottom
C24,138.15665,-60.23265,90.0,bottom
C25,157.25665,-60.23265,90.0,bottom
C26,176.25665,-60.23265,90.0,bottom
C27,195.35665,-60.23265,90.0,bottom
C28,214.35665,-60.23265,90.0,bottom
C29,233.45665,-60.23265,90.0,bottom
C3,80.86465,-40.1914,90.0,bottom
C30,252.45665,-60.23265,90.0,bottom
C31,271.55665,-60.33265,90.0,bottom
C32,300.95665,-61.23265,90.0,bottom
C33,333.65665,-63.37015,270.0,bottom
C34,352.46465,-60.7914,90.0,bottom
C35,371.56465,-60.7914,90.0,bottom
C36,38.06465,-78.2914,90.0,bottom
C37,61.86465,-78.2914,90.0,bottom
C38,80.86465,-78.2914,90.0,bottom
C39,99.96465,-78.2914,90.0,bottom
C4,99.96465,-40.1914,90.0,bottom
C40,118.96465,-78.2914,90.0,bottom
C41,138.06465,-78.2914,90.0,bottom
C42,157.06465,-78.2914,90.0,bottom
C43,176.16465,-78.2914,90.0,bottom
C44,195.16465,-78.2914,90.0,bottom
C45,214.175,-78.3125,90.0,bottom
C46,232.875,-78.3375,90.0,bottom
C47,251.975,-78.3211,90.0,bottom
C48,271.3,-78.3375,90.0,bottom
C49,295.125,-78.3375,90.0,bottom
C5,118.96465,-40.0914,90.0,bottom
C50,323.76465,-78.2914,90.0,bottom
C51,342.86465,-78.2914,90.0,bottom
C52,361.86465,-78.2914,90.0,bottom
C53,182.38,-125.1075,90.0,top
C54,50.06465,-98.8664,90.0,bottom
C55,76.26465,-98.8414,90.0,bottom
C56,95.26465,-98.7914,90.0,bottom
C57,114.36465,-98.8914,90.0,bottom
C58,133.36465,-98.8914,90.0,bottom
C59,152.46465,-98.8914,90.0,bottom
C6,138.06465,-40.1914,90.0,bottom
C60,171.46465,-98.8914,90.0,bottom
C61,190.56465,-98.8914,90.0,bottom
C62,209.56465,-98.8914,90.0,bottom
C63,228.66465,-98.8914,90.0,bottom
C64,247.66465,-98.8914,90.0,bottom
C65,266.76465,-98.9914,90.0,bottom
C66,297.76465,-98.8914,90.0,bottom
C67,333.46465,-98.8914,90.0,bottom
C68,352.46465,-98.8914,90.0,bottom
C69,371.56465,-98.8914,90.0,bottom
C7,157.06465,-40.1914,90.0,bottom
C70,45.16465,-116.3914,90.0,bottom
C71,76.16465,-116.3914,90.0,bottom
C72,95.16465,-116.3914,90.0,bottom
C73,114.26465,-116.3914,90.0,bottom
C74,133.26465,-116.3914,90.0,bottom
C75,152.36465,-116.3914,90.0,bottom
C76,171.36465,-116.3914,90.0,bottom
C77,190.46465,-116.3914,90.0,bottom
C78,209.46465,-116.3914,90.0,bottom
C79,228.56465,-116.3914,90.0,bottom
C8,176.16465,-40.1914,90.0,bottom
C80,247.56465,-116.3914,90.0,bottom
C81,283.26465,-116.3914,90.0,bottom
C82,342.86465,-116.3914,90.0,bottom
C83,45.26465,-136.9914,90.0,bottom
C84,92.96465,-136.9914,90.0,bottom
C85,69.16465,-136.9914,90.0,bottom
C86,164.36465,-136.9914,90.0,bottom
C87,235.76465,-136.9914,90.0,bottom
C88,259.66465,-136.9914,90.0,bottom
C89,283.46465,-136.9914,90.0,bottom
C9,195.16465,-40.1914,90.0,bottom
C90,307.26465,-136.9914,90.0,bottom
C91,333.46465,-136.9914,90.0,bottom
C92,352.46465,-136.9914,90.0,bottom
C93,371.56465,-136.9914,90.0,bottom
C94,319.35,-35.3,270.0,top
C95,310.85665,-43.37015,90.0,bottom
C96,317.05665,-42.27015,270.0,bottom
D1,51.3065,-41.58,90.0,bottom
D10,227.5227,-41.58,90.0,bottom
D11,246.5731,-41.58,90.0,bottom
D12,265.6235,-41.58,90.0,bottom
D13,284.6739,-41.58,90.0,bottom
D14,308.75665,-41.57015,90.0,bottom
D15,30.21,-50.77,90.0,top
D16,46.5439,-60.6304,90.0,bottom
D17,65.5943,-60.6304,90.0,bottom
D18,84.6447,-60.6304,90.0,bottom
D19,103.6951,-60.6304,90.0,bottom
D2,75.1195,-41.58,90.0,bottom
D20,122.7455,-60.6304,90.0,bottom
D21,141.7959,-60.6304,90.0,bottom
D22,160.8463,-60.6304,90.0,bottom
D23,179.8967,-60.6304,90.0,bottom
D24,198.9471,-60.6304,90.0,bottom
D25,217.9975,-60.6304,90.0,bottom
D26,237.0479,-60.6304,90.0,bottom
D27,256.0983,-60.6304,90.0,bottom
D28,275.1487,-60.6304,90.0,bottom
D29,303.7243,-60.6304,90.0,bottom
D3,94.1699,-41.58,90.0,bottom
D30,337.0625,-60.6304,90.0,bottom
D31,356.1129,-60.6304,90.0,bottom
D32,375.1633,-60.6304,90.0,bottom
D33,51.3065,-79.6808,90.0,bottom
D34,75.1195,-79.6808,90.0,bottom
D35,94.1699,-79.6808,90.0,bottom
D36,113.2203,-79.6808,90.0,bottom
D37,132.2707,-79.6808,90.0,bottom
D38,151.3211,-79.6808,90.0,bottom
D39,170.3715,-79.6808,90.0,bottom
